config_id,matrix_size,kernel_size,stride_h,stride_w,mode,threads,procs,time_seconds,speedup
0,100,3,1,1,seq,1,1,0.000448,1.0
0,100,3,1,1,omp,1,1,0.000311,1.4405
0,100,3,1,1,omp,2,1,0.000312,1.4358
0,100,3,1,1,omp,4,1,0.000276,1.6231
0,100,3,1,1,omp,8,1,0.000309,1.4498
0,100,3,1,1,omp,16,1,0.000309,1.4498
0,100,3,1,1,omp,32,1,0.000399,1.1228
0,100,3,1,1,mpi,1,1,0.000496,.9032
0,100,3,1,1,mpi,1,2,0.000297,1.5084
0,100,3,1,1,mpi,1,4,0.000243,1.8436
0,100,3,1,1,mpi,1,8,0.000138,3.2463
0,100,3,1,1,mpi,1,16,0.000452,.9911
0,100,3,1,1,mpi,1,32,0.000566,.7915
0,100,3,1,1,hybrid,4,2,0.000265,1.6905
0,100,3,1,1,hybrid,2,4,0.000242,1.8512
0,100,3,1,1,hybrid,4,4,0.000202,2.2178
0,100,3,1,1,hybrid,4,8,0.000124,3.6129
0,100,3,1,1,hybrid,8,4,0.000207,2.1642
0,100,3,1,1,hybrid,8,8,0.000120,3.7333
0,100,3,1,1,hybrid,8,16,0.000457,.9803
0,100,3,1,1,hybrid,16,8,0.000127,3.5275
0,100,3,1,1,hybrid,16,16,0.000457,.9803
0,100,3,1,1,hybrid,32,32,0.000580,.7724
1,500,3,1,1,seq,1,1,0.011255,1.0
1,500,3,1,1,omp,1,1,0.003247,3.4662
1,500,3,1,1,omp,2,1,0.003176,3.5437
1,500,3,1,1,omp,4,1,0.003372,3.3377
1,500,3,1,1,omp,8,1,0.003446,3.2661
1,500,3,1,1,omp,16,1,0.003325,3.3849
1,500,3,1,1,omp,32,1,0.003235,3.4791
1,500,3,1,1,mpi,1,1,0.012602,.8931
1,500,3,1,1,mpi,1,2,0.006785,1.6588
1,500,3,1,1,mpi,1,4,0.004148,2.7133
1,500,3,1,1,mpi,1,8,0.002861,3.9339
1,500,3,1,1,mpi,1,16,0.002774,4.0573
1,500,3,1,1,mpi,1,32,0.002687,4.1886
1,500,3,1,1,hybrid,4,2,0.004378,2.5708
1,500,3,1,1,hybrid,2,4,0.002913,3.8637
1,500,3,1,1,hybrid,4,4,0.003001,3.7504
1,500,3,1,1,hybrid,4,8,0.002030,5.5443
1,500,3,1,1,hybrid,8,4,0.002950,3.8152
1,500,3,1,1,hybrid,8,8,0.002052,5.4848
1,500,3,1,1,hybrid,8,16,0.002082,5.4058
1,500,3,1,1,hybrid,16,8,0.002000,5.6275
1,500,3,1,1,hybrid,16,16,0.001960,5.7423
1,500,3,1,1,hybrid,32,32,0.002049,5.4929
2,1000,3,1,1,seq,1,1,0.045105,1.0
2,1000,3,1,1,omp,1,1,0.012066,3.7381
