matrix_size,mode,threads_or_processes,run,time_seconds,speedup,efficiency_percent
100,seq,1,1,0.000455,1.0,100.0
100,seq,1,2,0.000455,1.0,100.0
100,seq,1,3,0.000451,1.0,100.0
100,omp,2,1,0.000346,1.3092,65.00
100,omp,2,2,0.000337,1.3442,67.00
100,omp,2,3,0.000303,1.4950,74.00
100,omp,4,1,0.000293,1.5460,38.00
100,omp,4,2,0.000282,1.6063,40.00
100,omp,4,3,0.000280,1.6178,40.00
100,omp,8,1,0.000351,1.2905,16.00
100,omp,8,2,0.000353,1.2832,16.00
100,omp,8,3,0.000400,1.1325,14.00
100,omp,16,1,0.001079,.4198,2.00
100,omp,16,2,0.000868,.5218,3.00
100,omp,16,3,0.000806,.5620,3.00
100,omp,32,1,0.001205,.3759,1.00
100,omp,32,2,0.001234,.3670,1.00
100,omp,32,3,0.001238,.3659,1.00
100,omp,64,1,0.002488,.1820,0
100,omp,64,2,0.002494,.1816,0
100,omp,64,3,0.002535,.1786,0
100,mpi,2,1,0.000295,1.5355,76.00
100,mpi,2,2,0.000300,1.5100,75.00
100,mpi,2,3,0.000294,1.5408,77.00
100,mpi,4,1,0.000181,2.5027,62.00
100,mpi,4,2,0.000179,2.5307,63.00
100,mpi,4,3,0.000179,2.5307,63.00
100,mpi,8,1,0.000174,2.6034,32.00
100,mpi,8,2,0.000179,2.5307,31.00
100,mpi,8,3,0.000174,2.6034,32.00
100,mpi,16,1,0.000192,2.3593,14.00
100,mpi,16,2,0.000188,2.4095,15.00
100,mpi,16,3,0.000181,2.5027,15.00
100,mpi,32,1,0.000218,2.0779,6.00
100,mpi,32,2,0.000218,2.0779,6.00
100,mpi,32,3,0.000216,2.0972,6.00
100,mpi,64,1,0.000149,3.0402,4.00
100,mpi,64,2,0.000150,3.0200,4.00
100,mpi,64,3,0.000151,3.0000,4.00
100,hybrid,4,1,0.000493,.9188,22.00
100,hybrid,4,2,0.000492,.9207,23.00
100,hybrid,4,3,0.000485,.9340,23.00
100,hybrid,8,1,0.000365,1.2410,15.00
100,hybrid,8,2,0.000334,1.3562,16.00
100,hybrid,8,3,0.000349,1.2979,16.00
100,hybrid,16,1,0.000328,1.3810,8.00
100,hybrid,16,2,0.000329,1.3768,8.00
100,hybrid,16,3,0.000335,1.3522,8.00
100,hybrid,32,1,0.000310,1.4612,4.00
100,hybrid,32,2,0.000326,1.3895,4.00
100,hybrid,32,3,0.000309,1.4660,4.00
100,hybrid,64,1,0.000349,1.2979,2.00
100,hybrid,64,2,0.000352,1.2869,2.00
100,hybrid,64,3,0.000346,1.3092,2.00
100,hybrid,8,1,0.000527,.8595,10.00
100,hybrid,8,2,0.000468,.9679,12.00
100,hybrid,8,3,0.000480,.9437,11.00
100,hybrid,16,1,0.000386,1.1735,7.00
100,hybrid,16,2,0.000406,1.1157,6.00
100,hybrid,16,3,0.011649,.0388,0
100,hybrid,32,1,0.000379,1.1952,3.00
100,hybrid,32,2,0.000392,1.1556,3.00
100,hybrid,32,3,0.000395,1.1468,3.00
100,hybrid,64,1,0.001036,.4372,0
100,hybrid,64,2,0.000398,1.1381,1.00
100,hybrid,64,3,0.000392,1.1556,1.00
500,seq,1,1,0.011303,1.0,100.0
500,seq,1,2,0.011518,1.0,100.0
500,seq,1,3,0.011283,1.0,100.0
500,omp,2,1,0.006016,1.8896,94.00
500,omp,2,2,0.005829,1.9502,97.00
500,omp,2,3,0.005763,1.9725,98.00
500,omp,4,1,0.003329,3.4148,85.00
500,omp,4,2,0.003322,3.4220,85.00
500,omp,4,3,0.003070,3.7029,92.00
500,omp,8,1,0.001855,6.1283,76.00
500,omp,8,2,0.002005,5.6698,70.00
500,omp,8,3,0.002037,5.5807,69.00
500,omp,16,1,0.001720,6.6093,41.00
500,omp,16,2,0.001791,6.3472,39.00
500,omp,16,3,0.001792,6.3437,39.00
500,omp,32,1,0.001797,6.3260,19.00
500,omp,32,2,0.001739,6.5370,20.00
500,omp,32,3,0.001834,6.1984,19.00
500,omp,64,1,0.002926,3.8851,6.00
500,omp,64,2,0.002850,3.9887,6.00
500,omp,64,3,0.002923,3.8891,6.00
500,mpi,2,1,0.006209,1.8308,91.00
500,mpi,2,2,0.006235,1.8232,91.00
500,mpi,2,3,0.006202,1.8329,91.00
500,mpi,4,1,0.003384,3.3593,83.00
500,mpi,4,2,0.003369,3.3742,84.00
500,mpi,4,3,0.003364,3.3793,84.00
500,mpi,8,1,0.002143,5.3047,66.00
500,mpi,8,2,0.002226,5.1069,63.00
500,mpi,8,3,0.002134,5.3270,66.00
500,mpi,16,1,0.001625,6.9956,43.00
500,mpi,16,2,0.001611,7.0564,44.00
500,mpi,16,3,0.001617,7.0303,43.00
500,mpi,32,1,0.001553,7.3200,22.00
500,mpi,32,2,0.001556,7.3059,22.00
500,mpi,32,3,0.001551,7.3294,22.00
500,mpi,64,1,0.001479,7.6862,12.00
500,mpi,64,2,0.001452,7.8292,12.00
500,mpi,64,3,0.001600,7.1050,11.00
500,hybrid,4,1,0.007053,1.6117,40.00
500,hybrid,4,2,0.007061,1.6099,40.00
500,hybrid,4,3,0.007044,1.6138,40.00
500,hybrid,8,1,0.004072,2.7917,34.00
500,hybrid,8,2,0.003902,2.9133,36.00
500,hybrid,8,3,0.003863,2.9427,36.00
500,hybrid,16,1,0.002438,4.6628,29.00
500,hybrid,16,2,0.002576,4.4130,27.00
500,hybrid,16,3,0.002428,4.6820,29.00
500,hybrid,32,1,0.001907,5.9611,18.00
500,hybrid,32,2,0.001884,6.0339,18.00
500,hybrid,32,3,0.001863,6.1019,19.00
500,hybrid,64,1,0.001750,6.4960,10.00
500,hybrid,64,2,0.001762,6.4517,10.00
500,hybrid,64,3,0.001732,6.5635,10.00
500,hybrid,8,1,0.004688,2.4249,30.00
500,hybrid,8,2,0.005142,2.2108,27.00
500,hybrid,8,3,0.004746,2.3952,29.00
500,hybrid,16,1,0.003036,3.7444,23.00
500,hybrid,16,2,0.002815,4.0383,25.00
500,hybrid,16,3,0.003101,3.6659,22.00
500,hybrid,32,1,0.002175,5.2266,16.00
500,hybrid,32,2,0.002075,5.4785,17.00
500,hybrid,32,3,0.002148,5.2923,16.00
500,hybrid,64,1,0.001802,6.3085,9.00
500,hybrid,64,2,0.002115,5.3749,8.00
500,hybrid,64,3,0.001676,6.7828,10.00
1000,seq,1,1,0.044783,1.0,100.0
1000,seq,1,2,0.045571,1.0,100.0
1000,seq,1,3,0.044366,1.0,100.0
1000,omp,2,1,0.022080,2.0337,101.00
1000,omp,2,2,0.022052,2.0363,101.00
1000,omp,2,3,0.022092,2.0326,101.00
1000,omp,4,1,0.011737,3.8260,95.00
1000,omp,4,2,0.011742,3.8243,95.00
1000,omp,4,3,0.011919,3.7675,94.00
1000,omp,8,1,0.006945,6.4659,80.00
1000,omp,8,2,0.006269,7.1631,89.00
1000,omp,8,3,0.006390,7.0275,87.00
1000,omp,16,1,0.004634,9.6905,60.00
1000,omp,16,2,0.004370,10.2759,64.00
1000,omp,16,3,0.004266,10.5264,65.00
1000,omp,32,1,0.003554,12.6353,39.00
1000,omp,32,2,0.003171,14.1614,44.00
1000,omp,32,3,0.003520,12.7573,39.00
1000,omp,64,1,0.004715,9.5240,14.00
1000,omp,64,2,0.004085,10.9929,17.00
1000,omp,64,3,0.004217,10.6488,16.00
1000,mpi,2,1,0.024188,1.8565,92.00
1000,mpi,2,2,0.024170,1.8579,92.00
1000,mpi,2,3,0.024051,1.8671,93.00
1000,mpi,4,1,0.012872,3.4886,87.00
1000,mpi,4,2,0.012591,3.5665,89.00
1000,mpi,4,3,0.012716,3.5314,88.00
1000,mpi,8,1,0.007451,6.0268,75.00
1000,mpi,8,2,0.007432,6.0422,75.00
1000,mpi,8,3,0.007458,6.0211,75.00
1000,mpi,16,1,0.004978,9.0208,56.00
1000,mpi,16,2,0.004839,9.2800,58.00
1000,mpi,16,3,0.004972,9.0317,56.00
1000,mpi,32,1,0.003850,11.6638,36.00
1000,mpi,32,2,0.003756,11.9558,37.00
1000,mpi,32,3,0.003791,11.8454,37.00
