# Performance Analysis Results - CSV Format for Graphing
# Generated on Thu 04 Sep 2025 12:06:12 AWST
# SLURM Job ID: 9218
# Available CPUs: 96

# #pragma omp parallel for collapse(2)

Test_Type,Problem_Description,Matrix_Size_H,Matrix_Size_W,Kernel_Size,Threads,Sequential_Time,Parallel_Time,Speedup

# === INPUT FILE TESTS ===
InputFile,f0_g0,6,6,3,1,0.000001,0.000006,0.11
InputFile,f0_g0,6,6,3,8,0.000000,0.000217,0.00
InputFile,f0_g0,6,6,3,16,0.000000,0.000435,0.00
InputFile,f1_g1,3,3,2,1,0.000000,0.000003,0.08
InputFile,f1_g1,3,3,2,8,0.000000,0.000217,0.00
InputFile,f1_g1,3,3,2,16,0.000000,0.000414,0.00
InputFile,f2_g2,5,5,3,1,0.000001,0.000003,0.18
InputFile,f2_g2,5,5,3,8,0.000000,0.000209,0.00
InputFile,f2_g2,5,5,3,16,0.000000,0.000504,0.00
InputFile,f3_g3,100,100,5,1,0.000192,0.000201,0.96
InputFile,f3_g3,100,100,5,8,0.000196,0.000230,0.85
InputFile,f3_g3,100,100,5,16,0.000190,0.000415,0.46

# === THREAD SCALING TESTS ===
ThreadScaling,Size_100x100,100,100,5,1,0.000189,0.000210,0.90
ThreadScaling,Size_100x100,100,100,5,2,0.000189,0.000152,1.24
ThreadScaling,Size_100x100,100,100,5,4,0.000190,0.000164,1.15
ThreadScaling,Size_100x100,100,100,5,8,0.000188,0.000228,0.82
ThreadScaling,Size_100x100,100,100,5,16,0.000190,0.000458,0.41
ThreadScaling,Size_100x100,100,100,5,24,0.000196,0.000676,0.29
ThreadScaling,Size_100x100,100,100,5,32,0.000197,0.000866,0.23
ThreadScaling,Size_100x100,100,100,5,48,0.000195,0.001270,0.15
ThreadScaling,Size_100x100,100,100,5,64,0.000190,0.001770,0.11
ThreadScaling,Size_100x100,100,100,5,96,0.000198,0.002756,0.07
ThreadScaling,Size_500x500,500,500,5,1,0.004826,0.005096,0.95
ThreadScaling,Size_500x500,500,500,5,2,0.004769,0.002626,1.82
ThreadScaling,Size_500x500,500,500,5,4,0.004770,0.001403,3.40
ThreadScaling,Size_500x500,500,500,5,8,0.004762,0.000845,5.64
ThreadScaling,Size_500x500,500,500,5,16,0.004766,0.000731,6.52
ThreadScaling,Size_500x500,500,500,5,24,0.004782,0.000834,5.73
ThreadScaling,Size_500x500,500,500,5,32,0.004868,0.001094,4.45
ThreadScaling,Size_500x500,500,500,5,48,0.004901,0.001427,3.44
ThreadScaling,Size_500x500,500,500,5,64,0.004900,0.001841,2.66
ThreadScaling,Size_500x500,500,500,5,96,0.004909,0.002920,1.68
ThreadScaling,Size_1000x1000,1000,1000,5,1,0.019057,0.019717,0.97
ThreadScaling,Size_1000x1000,1000,1000,5,2,0.018737,0.010060,1.86
ThreadScaling,Size_1000x1000,1000,1000,5,4,0.019118,0.005149,3.71
ThreadScaling,Size_1000x1000,1000,1000,5,8,0.018703,0.002873,6.51
ThreadScaling,Size_1000x1000,1000,1000,5,16,0.018740,0.002108,8.89
ThreadScaling,Size_1000x1000,1000,1000,5,24,0.018663,0.001635,11.42
ThreadScaling,Size_1000x1000,1000,1000,5,32,0.018651,0.001718,10.86
ThreadScaling,Size_1000x1000,1000,1000,5,48,0.018752,0.002881,6.51
ThreadScaling,Size_1000x1000,1000,1000,5,64,0.018747,0.002326,8.06
ThreadScaling,Size_1000x1000,1000,1000,5,96,0.018783,0.003413,5.50
ThreadScaling,Size_1500x1500,1500,1500,5,1,0.041405,0.044149,0.94
ThreadScaling,Size_1500x1500,1500,1500,5,2,0.041835,0.021957,1.91
ThreadScaling,Size_1500x1500,1500,1500,5,4,0.041727,0.011135,3.75
ThreadScaling,Size_1500x1500,1500,1500,5,8,0.041771,0.006150,6.79
ThreadScaling,Size_1500x1500,1500,1500,5,16,0.041341,0.003840,10.76
ThreadScaling,Size_1500x1500,1500,1500,5,24,0.041855,0.003092,13.54
ThreadScaling,Size_1500x1500,1500,1500,5,32,0.041829,0.002965,14.11
ThreadScaling,Size_1500x1500,1500,1500,5,48,0.041233,0.002545,16.20
ThreadScaling,Size_1500x1500,1500,1500,5,64,0.041157,0.002897,14.21
ThreadScaling,Size_1500x1500,1500,1500,5,96,0.042055,0.003636,11.57
ThreadScaling,Size_2000x2000,2000,2000,5,1,0.074710,0.077896,0.96
ThreadScaling,Size_2000x2000,2000,2000,5,2,0.073497,0.039055,1.88
ThreadScaling,Size_2000x2000,2000,2000,5,4,0.073556,0.020049,3.67
ThreadScaling,Size_2000x2000,2000,2000,5,8,0.073478,0.011179,6.57
ThreadScaling,Size_2000x2000,2000,2000,5,16,0.073905,0.006442,11.47
ThreadScaling,Size_2000x2000,2000,2000,5,24,0.074032,0.004896,15.12
ThreadScaling,Size_2000x2000,2000,2000,5,32,0.073386,0.004042,18.15
ThreadScaling,Size_2000x2000,2000,2000,5,48,0.073953,0.003897,18.98
ThreadScaling,Size_2000x2000,2000,2000,5,64,0.073473,0.003729,19.71
ThreadScaling,Size_2000x2000,2000,2000,5,96,0.073463,0.004148,17.71
ThreadScaling,Size_5000x5000,5000,5000,5,1,0.457752,0.482980,0.95
ThreadScaling,Size_5000x5000,5000,5000,5,2,0.458180,0.241965,1.89
ThreadScaling,Size_5000x5000,5000,5000,5,4,0.457641,0.121370,3.77
ThreadScaling,Size_5000x5000,5000,5000,5,8,0.457848,0.061180,7.48
ThreadScaling,Size_5000x5000,5000,5000,5,16,0.458338,0.030985,14.79
ThreadScaling,Size_5000x5000,5000,5000,5,24,0.457741,0.022017,20.79
ThreadScaling,Size_5000x5000,5000,5000,5,32,0.458084,0.017545,26.11
ThreadScaling,Size_5000x5000,5000,5000,5,48,0.457863,0.013042,35.11
ThreadScaling,Size_5000x5000,5000,5000,5,64,0.457849,0.010815,42.33
ThreadScaling,Size_5000x5000,5000,5000,5,96,0.457833,0.009250,49.50
ThreadScaling,Size_10000x10000,10000,10000,5,1,1.830864,1.932619,0.95
ThreadScaling,Size_10000x10000,10000,10000,5,2,1.831435,0.966994,1.89
ThreadScaling,Size_10000x10000,10000,10000,5,4,1.830933,0.483397,3.79
ThreadScaling,Size_10000x10000,10000,10000,5,8,1.837146,0.242676,7.57
ThreadScaling,Size_10000x10000,10000,10000,5,16,1.831049,0.122780,14.91
ThreadScaling,Size_10000x10000,10000,10000,5,24,1.830421,0.081736,22.39
ThreadScaling,Size_10000x10000,10000,10000,5,32,1.830489,0.062325,29.37
ThreadScaling,Size_10000x10000,10000,10000,5,48,1.830851,0.042411,43.17
ThreadScaling,Size_10000x10000,10000,10000,5,64,1.831862,0.032575,56.24
ThreadScaling,Size_10000x10000,10000,10000,5,96,1.830953,0.023866,76.72

# === MATRIX SIZE SCALING TESTS ===
MatrixScaling,Size_100x100,100,100,5,8,0.000195,0.000300,0.65
MatrixScaling,Size_200x200,200,200,5,8,0.000793,0.000304,2.61
MatrixScaling,Size_300x300,300,300,5,8,0.001768,0.000423,4.18
MatrixScaling,Size_400x400,400,400,5,8,0.003098,0.000617,5.02
